id;nomSite;1;2;3;4;5;6;7;8;9;10;11;12
1;LHUIS GARAGE COMMUNAL;600;600;600;600;600;600;600;600;600;600;600;600
2;AMBERIEU EN BUGEY CDIS;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
3;MEXIMIEUX BP;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
4;MONTMERLE SUR SAONE BP;2;120;120;120;120;120;120;120;120;120;120;120
5;BOURG FONTAINE BERNARD;2;120;120;120;120;120;120;120;120;120;120;120
6;AMBERIEU EN BUGEY;4;240;240;240;240;240;240;240;240;240;240;240
7;BPX AMBERIEUX EN DOMB. (VILLAR;8;480;480;480;480;480;480;480;480;480;480;480
8;VAL REVERMONT GAB;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
9;CHATILLON-BELLEGARDE CDIS;5;300;300;300;300;300;300;300;300;300;300;300
10;BOURG GARAGE;12;720;720;720;720;720;720;720;720;720;720;720
11;ST DIDIER SUR CHALARONNE BPX;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
12;VILLARS LES DOMBES CC;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
13;MONTREAL LA CLUSE PDC;12;720;720;720;720;720;720;720;720;720;720;720
14;BOURG PPDC;5;300;300;300;300;300;300;300;300;300;300;300
15;BOURG MAGINOT;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
16;DAGNEUX PDC;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
17;CHALAMONT BP;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
18;NANTUA;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
19;MONTREAL LA CLUSE;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
20;ARS SUR FORMANS;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
21;BAGE LE CHATEL;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
