idSite;NomSite;Typologie MTK;Adresse_Site;Code_postal;Ville;Nb_Heures;latitude;longitude;cluster
424;ABONDANCE;BP; PLACE DU CHAMP DE FOIRE;74360;ABONDANCE;11.16538462;46.2794704;6.7200319;6
463;ABONDANCE PDC;PDC; CHEF LIEU;74360;ABONDANCE;1.075769231;46.338811;6.6415577;6
359;AIGUEBELLE;BP;72 GRANDE RUE;73220;VAL D ARC;1.5;45.542861;6.303596;7
360;AIGUEBLANCHE;BP;77 PLACE DE LA LIBERTE;73260;GRAND AIGUEBLANCHE;2.598076923;45.500434;6.508816;7
366;AIME;BP; RUE DE LA POSTE;73210;AIME LA PLAGNE;1.128842308;45.5565294;6.6503101;7
412;AIX LES BAINS CASINO;BP;31 Le grand passage;73100;AIX LES BAINS;1.5;45.69043;5.91276;1
370;AIX LES BAINS UD;BP;11 AVENUE DU GRAND PORT;73100;AIX LES BAINS;1.5;45.694836;5.909777;1
369;ALBENS;PDC; PLACE DE L EGLISE;73410;ENTRELACS;1.5;45.7858031;5.9450138;1
365;ALBERTVILLE BP;PDC;10 PLACE DU 11 NOVEMBRE 1918;73200;ALBERTVILLE;1.5;45.675835;6.3920706;7
362;ALBERTVILLE CC;PDC;480 CHEMIN DE LA CHARETTE;73200;ALBERTVILLE;1.5;45.6672655;6.3648505;7
422;ALBERTVILLE STE THERESE GA;BP;738 RUE COMMANDANT DUBOIS;73200;ALBERTVILLE;2.535769231;45.666509;6.379078;7
532;ALBY SUR CHERAN;BP;6 PLACE DE LA POSTE;74540;ALBY SUR CHERAN;2.161538462;45.8211244;6.0230853;1
153;ALIXAN ROVALTAIN;BP;1 AVENUE DE LA GARE;26300;ALIXAN;1.5;44.989862;4.9769716;0
343;ALLEMONT GAB HORS SITE;BP;490 ROUTE DES FONDERIES ROYALES;38114;ALLEMOND;2.399076923;45.12829;6.04002;2
216;ALLEVARD;BP;8 AVENUE ANTOINE LOUARAZ;38580;ALLEVARD;2.857807692;45.3937211;6.072246;2
225;ALPE D'HUEZ;BP;5197 ROUTE DE LA POSTE;38750;HUEZ;15.56923077;45.0911555;6.0641683;2
75;AMBERIEU CENTRE D'AFFAIRES;BP;20 AVENUE DU GENERAL SARRAIL;1500;AMBERIEU EN BUGEY;1.5;45.9584309;5.3595099;3
6;AMBERIEU EN BUGEY;BP;38 RUE ALEXANDRE BERARD;1500;AMBERIEU EN BUGEY;2.618346154;45.972044;5.3522508;3
2;AMBERIEU EN BUGEY CDIS;PDC;29 AVENUE ANDRE CITROEN;1500;AMBERIEU EN BUGEY;1.5;45.9584309;5.3595099;3
442;AMBILLY;BP;30 RUE DES MARRONNIERS;74100;AMBILLY;1.5;46.1954913;6.2247069;6
446;ANNECY CDIS;BP;6 PASSAGE DU THIOU;74000;ANNECY;1.5;45.9008957;6.112744;1
479;ANNECY CHAVANOD PARC ALTAIS DEDT;BP;68 RUE CASSIOPEE;74650;CHAVANOD;1.5;45.8958607;6.0798679;1
456;ANNECY COEUR DE VILLE;BP;4 RUE DES GLIERES;74000;ANNECY;1.5;45.9002718;6.1225463;1
447;ANNECY LE VIEUX;BP;41 AVENUE DES CARRES;74940;ANNECY;1.5;45.9145874;6.1446606;1
525;ANNECY LES FINS;PDC;71 AVENUE DE GENEVE;74000;ANNECY;2.113223077;45.9138575;6.1235934;1
527;ANNECY NOVEL;BP;7 RUE LOUIS ARMAND;74000;ANNECY;3.259796154;45.9182369;6.1306569;1
429;ANNECY PARMELAN;BP;25 AVENUE DU PARMELAN;74000;ANNECY;19.16226154;45.9065241;6.1324888;1
530;ANNEMASSE PAL;BP;2 AVENUE DE VERDUN;74100;ANNEMASSE;1.5;46.1905688;6.2419381;6
449;ANNEMASSE PARC;BP;1 PLACE DE LA POSTE;74100;ANNEMASSE;1.5;46.1947729;6.2338686;6
135;ANNEYRON;BP;15 RUE GAMBETTA;26140;ANNEYRON;1.5;45.2717235;4.8901495;0
80;ANNONAY EUROPE CARNOT BPX;BP;22 AVENUE DE L EUROPE;7100;ANNONAY;4.2;45.2418997;4.6715196;0
92;ANNONAY LEVERT;PI;2 ROUTE LEVERT;7100;ANNONAY;1.5;45.2396047;4.6677067;0
133;ANTRAIGUES SUR VOLANE GAB;BP; MONTEE DE LA CROISETTE;7530;ANTRAIGUES SUR VOLANE;1.033538462;44.7191583;4.3535354;4
512;ARGONAY PPDC MF;PDC;250 ROUTE DE CHAMP FARCON;74370;ARGONAY;1.5;45.9391132;6.1328935;1
20;ARS SUR FORMANS;BP;370 RUE JEAN MARIE VIANNEY;1480;ARS SUR FORMANS;3.707673077;45.992944;4.821759;3
79;ARS SUR FORMANS GAB;BP; PLACE FREIHALDEN;1480;ARS SUR FORMANS;1.5;45.9934572;4.8207744;3
134;AUBENAS CHAMPS DE MARS;BP;9001 PLACE DU CHAMP DE MARS;7200;AUBENAS;1.5;44.6204145;4.3868519;4
82;AUBENAS CLC;BP;44 RUE DE L AGUYANE;7200;AUBENAS;1.5;44.6157793;4.4073529;4
21;BAGE LE CHATEL;Hors MTK;31 RUE CONDAMNALE;1380;BAGE LE CHATEL;2.552523077;46.3076285;4.929483;3
374;BARBERAZ BPX;BP;10 GALERIE DE LA CHARTREUSE;73000;BARBERAZ;1.5;45.5630901;5.9437459;1
156;BATIE ROLLAND (LA) BPX;BP; PLACE ABBE GEORGES MAGNET;26160;LA BATIE ROLLAND;1.437034615;44.5537168;4.8638139;0
96;BEAGE (LE);BP;5504 LE VILLAGE;7630;LE BEAGE;1.5;44.849158;4.1201847;4
97;BEAUCHASTEL;BP;4 QUARTIER DU PONT;7800;BEAUCHASTEL;1.5;44.8250002;4.800277;0
376;BEAUFORT SUR DORON;BP;5186 ROUTE DE BEAUFORT;73270;BEAUFORT SUR DORON;1.155807692;45.71748;6.574858;7
157;BEAUMONT LES VALENCE;PDC;2 RUE DU 11 NOVEMBRE 1918;26760;BEAUMONT LES VALENCE;1.5;44.86087;4.9411833;0
148;BEAUMONT PPDC;PDC;40 RUE ANTOINE DE SAINT EXUPERY;26760;BEAUMONT LES VALENCE;1.358342308;44.8862922;4.9209174;0
250;BEAUREPAIRE;PDC; PLACE DES TERREAUX;38270;BEAUREPAIRE;1.5;45.3382337;5.0544001;5
251;BEAUREPAIRE GARAGE;BP;9003 RUE MABLY;38270;BEAUREPAIRE;1.5;45.3378672;5.0545913;5
158;BEGUDE DE MAZENC (LA);Hors MTK; AVENUE JEAN JAURES;26160;LA BEGUDE DE MAZENC;1.5;44.5470804;4.9359427;0
23;BELLEGARDE-SUR-VALSERINE;BP;52 RUE DE LA REPUBLIQUE;1200;VALSERHONE;2.350946154;46.1071109;5.8246669;1
468;BELLEVAUX;BP; CHEF LIEU;74470;BELLEVAUX;1.3941;46.2528103;6.540032;6
24;BELLEY;BP;3 BOULEVARD DU MAIL;1300;BELLEY;1.5;45.7610844;5.6876222;1
